date,hdax_close,new_cases,stringency_index
2020-03-03,6706.24,37.0,25.0
2020-03-04,6772.21,66.0,25.0
2020-03-05,6666.09,220.0,25.0
2020-03-06,6430.74,188.0,25.0
2020-03-09,5932.03,136.0,28.7
2020-03-10,5860.69,281.0,32.87
2020-03-11,5823.93,451.0,32.87
2020-03-12,5121.02,170.0,32.87
2020-03-13,5164.19,1597.0,32.87
2020-03-16,4891.91,1477.0,42.13
2020-03-17,4951.66,1985.0,42.13
2020-03-18,4658.54,3070.0,52.31
2020-03-19,4769.83,2993.0,55.09
2020-03-20,4975.21,4528.0,57.87
2020-03-23,4849.43,4183.0,76.85
2020-03-24,5329.9,3930.0,76.85
2020-03-25,5437.88,4337.0,76.85
2020-03-26,5550.97,6615.0,76.85
2020-03-27,5343.0,6933.0,76.85
2020-03-30,5415.54,4790.0,76.85
2020-03-31,5484.82,4923.0,76.85
2020-04-01,5272.7,6064.0,76.85
2020-04-02,5282.57,6922.0,76.85
2020-04-03,5255.62,6365.0,76.85
2020-04-06,5534.86,3251.0,76.85
2020-04-07,5684.84,4289.0,76.85
2020-04-08,5689.6,5633.0,76.85
2020-04-09,5815.18,4885.0,76.85
2020-04-14,5886.36,1287.0,76.85
2020-04-15,5666.4,3394.0,76.85
2020-04-16,5679.56,2945.0,76.85
2020-04-17,5853.69,3699.0,76.85
2020-04-20,5879.03,1881.0,76.85
2020-04-21,5657.96,1226.0,76.85
2020-04-22,5749.44,2357.0,76.85
2020-04-23,5803.74,2481.0,76.85
2020-04-24,5710.25,1870.0,76.85
2020-04-27,5861.92,988.0,76.85
2020-04-28,5934.96,1154.0,76.85
2020-04-29,6104.84,1627.0,76.85
2020-04-30,5980.46,1470.0,76.85
2020-05-04,5778.47,488.0,71.76
2020-05-05,5929.29,855.0,71.76
2020-05-06,5868.11,1155.0,66.2
2020-05-07,5972.97,1268.0,64.35
2020-05-08,6045.76,1158.0,64.35
2020-05-11,6004.25,697.0,64.35
2020-05-12,5994.82,595.0,64.35
2020-05-13,5862.03,927.0,64.35
2020-05-14,5744.28,380.0,64.35
2020-05-15,5811.23,755.0,64.35
2020-05-18,6115.62,182.0,61.57
2020-05-19,6127.36,1227.0,59.72
2020-05-20,6208.41,695.0,59.72
2020-05-21,6135.2,548.0,59.72
2020-05-22,6146.78,689.0,59.72
2020-05-25,6318.42,272.0,59.72
2020-05-26,6388.47,600.0,59.72
2020-05-27,6434.11,324.0,59.72
2020-05-28,6512.22,672.0,59.72
2020-05-29,6415.85,726.0,59.72
